"","school","sex","address","famsize","Pstatus","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","bin_Mjob_at_home","bin_Mjob_health","bin_Mjob_other","bin_Mjob_services","bin_Mjob_teacher","bin_Fjob_teacher","bin_Fjob_other","bin_Fjob_services","bin_Fjob_health","bin_Fjob_at_home","bin_reason_course","bin_reason_other","bin_reason_home","bin_reason_reputation","bin_guardian_mother","bin_guardian_father","bin_guardian_other","age","Medu","Fedu","traveltime","studytime","famrel","freetime","goout","Dalc","Walc","health","absences","failures","G2","G1","G3","result"
"21","GP","M","U","GT3","T","no","no","no","no","yes","yes","yes","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","yes","yes","no","no",15,4,3,1,2,4,4,1,1,1,1,0,0,13,12,14,"pass"
"22","GP","M","U","GT3","T","no","yes","yes","no","yes","yes","yes","no","no","yes","no","no","no","no","no","no","yes","no","no","yes","no","no","no","yes","no",15,4,4,1,1,5,4,2,1,1,5,0,0,12,11,12,"pass"
"23","GP","M","U","LE3","T","no","no","no","yes","yes","yes","yes","no","no","no","no","no","yes","no","yes","no","no","no","yes","no","no","no","yes","no","no",16,4,2,1,2,4,5,1,1,3,5,0,0,13,12,14,"pass"
"24","GP","M","U","LE3","T","no","yes","no","yes","yes","yes","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","yes","yes","no","no",16,2,2,2,2,5,4,4,2,4,5,2,0,10,10,10,"pass"
"25","GP","F","R","GT3","T","yes","yes","no","yes","yes","yes","yes","no","no","no","no","yes","no","no","no","no","yes","no","yes","no","no","no","yes","no","no",15,2,4,1,3,4,3,2,1,1,5,2,0,11,10,10,"pass"
"26","GP","F","U","GT3","T","no","yes","no","no","no","yes","yes","no","no","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","yes","no","no",16,2,2,1,1,1,2,2,1,3,5,6,0,11,10,12,"pass"
"27","GP","M","U","GT3","T","no","yes","no","no","yes","yes","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","yes","no","no",15,2,2,1,1,4,2,2,1,2,5,8,0,12,11,12,"pass"
"28","GP","M","U","GT3","T","no","no","no","no","yes","yes","yes","no","no","yes","no","no","no","no","no","yes","no","no","no","yes","no","no","yes","no","no",15,4,2,1,1,2,2,4,2,4,1,0,0,11,11,11,"pass"
"29","GP","M","U","LE3","A","yes","yes","yes","yes","yes","yes","yes","no","no","no","no","yes","no","no","yes","no","no","no","no","no","yes","no","yes","no","no",16,3,4,1,2,5,3,3,1,1,5,2,0,12,12,13,"pass"
"30","GP","M","U","GT3","T","no","yes","yes","yes","yes","yes","yes","yes","no","no","no","no","yes","yes","no","no","no","no","no","no","yes","no","yes","no","no",16,4,4,1,2,4,4,5,5,5,5,4,0,11,12,12,"pass"
"31","GP","M","U","GT3","T","no","yes","yes","no","no","yes","yes","no","no","yes","no","no","no","no","no","yes","no","no","no","no","yes","no","yes","no","no",15,4,4,1,2,5,4,2,3,4,5,0,0,11,10,11,"pass"
"32","GP","M","U","GT3","T","no","yes","no","yes","yes","yes","yes","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","yes","no","no",15,4,4,2,2,4,3,1,1,1,5,2,0,15,15,15,"pass"
"33","GP","M","R","GT3","T","no","yes","no","yes","yes","yes","yes","yes","no","no","no","no","yes","no","no","no","no","yes","yes","no","no","no","yes","no","no",15,4,3,1,2,4,5,2,1,1,5,0,0,14,13,15,"pass"
"34","GP","M","U","LE3","T","no","no","no","yes","no","yes","yes","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","no",15,3,3,1,2,5,3,2,1,1,2,0,0,12,13,12,"pass"
"35","GP","M","U","GT3","T","no","yes","no","no","no","yes","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","yes","no","no",16,3,2,1,1,5,4,3,1,1,5,4,0,12,12,12,"pass"
"36","GP","F","U","GT3","T","no","yes","no","yes","yes","yes","no","no","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no","no","yes","no",15,2,3,2,1,3,5,1,1,1,5,4,0,11,11,11,"pass"
"37","GP","M","U","LE3","T","no","yes","no","yes","yes","yes","yes","no","no","no","no","no","yes","no","no","yes","no","no","no","no","yes","no","yes","no","no",15,4,3,1,3,5,4,3,1,1,4,0,0,14,14,14,"pass"
"38","GP","M","R","GT3","A","no","yes","no","yes","yes","yes","yes","yes","no","no","yes","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no",16,4,4,2,3,2,4,3,1,1,5,4,0,13,13,13,"pass"
"39","GP","F","R","GT3","T","yes","yes","no","yes","yes","yes","yes","no","no","no","no","yes","no","no","no","no","yes","no","yes","no","no","no","yes","no","no",15,3,4,1,3,4,3,2,1,1,5,2,0,12,11,12,"pass"
"40","GP","F","R","GT3","T","yes","yes","no","yes","yes","yes","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","yes","yes","no","no",15,2,2,1,1,4,3,1,1,1,2,8,0,13,14,12,"pass"
"41","GP","F","U","LE3","T","no","yes","no","yes","no","yes","yes","yes","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","yes","no","no",16,2,2,2,2,3,3,3,1,2,3,16,0,11,11,10,"pass"
"42","GP","M","U","LE3","T","no","yes","no","no","no","yes","yes","yes","no","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no","yes",15,4,4,1,1,5,4,3,2,4,5,8,0,11,10,11,"pass"
"43","GP","M","U","GT3","T","no","yes","no","yes","yes","yes","yes","no","no","no","no","yes","no","yes","no","no","no","no","yes","no","no","no","no","yes","no",15,4,4,1,2,4,3,3,1,1,5,0,0,15,14,15,"pass"
"44","GP","M","U","GT3","T","yes","yes","no","no","yes","yes","yes","no","no","no","no","yes","no","no","no","yes","no","no","yes","no","no","no","no","yes","no",15,2,2,1,1,5,4,1,1,1,1,0,0,10,9,10,"pass"
"45","GP","F","U","LE3","T","yes","no","no","yes","yes","yes","yes","no","no","no","yes","no","no","no","no","no","no","yes","yes","no","no","no","no","yes","no",16,2,2,2,2,4,3,3,2,2,5,14,1,11,10,11,"pass"
"46","GP","F","U","LE3","A","yes","yes","yes","yes","yes","yes","yes","yes","no","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","no",15,4,3,1,2,5,2,2,1,1,5,4,0,11,10,11,"pass"
"47","GP","F","U","LE3","A","no","yes","no","no","yes","yes","yes","no","no","no","yes","no","no","no","no","yes","no","no","no","no","yes","no","yes","no","no",16,3,3,1,2,2,3,5,1,4,3,6,0,12,13,13,"pass"
"48","GP","M","U","GT3","T","no","no","no","yes","yes","yes","yes","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","yes","no","no",16,4,3,1,4,4,2,2,1,1,2,2,0,17,17,17,"pass"
"49","GP","M","U","GT3","T","no","yes","no","no","yes","yes","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","yes","no","no",15,4,2,1,2,4,3,3,2,2,5,4,0,12,11,13,"pass"
"50","GP","F","U","GT3","T","yes","yes","no","yes","no","yes","yes","no","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no","yes","no",15,4,4,1,2,4,4,4,1,1,3,2,0,12,13,12,"pass"
"51","GP","F","U","LE3","T","no","yes","no","no","yes","yes","yes","no","no","no","no","yes","no","no","no","yes","no","no","yes","no","no","no","yes","no","no",16,2,2,3,2,4,3,3,2,3,4,0,0,13,14,13,"pass"
"52","GP","F","U","LE3","T","no","yes","no","no","yes","yes","yes","no","no","yes","no","no","no","no","yes","no","no","no","no","yes","no","no","yes","no","no",15,4,2,1,2,4,3,3,1,1,5,0,0,14,16,16,"pass"
"53","GP","M","U","LE3","A","no","no","no","no","yes","yes","no","no","no","yes","no","no","no","no","no","no","yes","no","no","yes","no","no","no","yes","no",15,4,2,2,1,5,5,5,3,4,5,4,0,9,10,9,"fail"
"54","GP","F","U","GT3","T","yes","yes","no","no","yes","yes","yes","no","no","no","no","yes","no","no","no","yes","no","no","yes","no","no","no","yes","no","no",15,4,4,1,1,3,3,4,2,3,5,0,0,12,13,12,"pass"
"55","GP","F","U","LE3","A","no","no","no","no","yes","yes","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no","yes","no","no",15,3,3,1,1,5,3,4,4,4,1,0,0,12,13,13,"pass"
"56","GP","F","U","GT3","A","no","no","no","yes","yes","yes","yes","yes","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no","yes","no","no",16,2,1,1,2,5,3,4,1,1,2,2,0,13,12,12,"pass"
"57","GP","F","U","GT3","A","no","yes","no","yes","yes","yes","yes","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","yes","no","no",15,4,3,1,2,4,3,2,1,1,1,0,0,14,15,15,"pass"
"58","GP","M","U","GT3","T","no","yes","no","yes","yes","yes","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","yes","yes","no","no",15,4,4,1,2,3,2,2,1,1,5,8,0,15,15,16,"pass"
"59","GP","M","U","LE3","T","yes","yes","no","yes","yes","yes","yes","no","no","no","yes","no","no","no","no","no","no","yes","no","no","yes","no","no","yes","no",15,1,2,1,2,4,3,2,1,1,5,0,0,13,14,14,"pass"
"60","GP","F","U","GT3","T","no","yes","yes","no","yes","yes","yes","no","no","no","no","yes","no","no","yes","no","no","no","yes","no","no","no","yes","no","no",16,4,2,1,2,4,2,3,1,1,5,2,0,15,16,16,"pass"
"61","GP","F","R","GT3","T","no","yes","no","yes","yes","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","no","yes","no","no",16,4,4,1,2,2,4,4,2,3,4,0,0,16,17,16,"pass"
"62","GP","F","U","GT3","T","yes","yes","no","yes","no","yes","yes","yes","no","no","no","yes","no","no","no","yes","no","no","yes","no","no","no","no","yes","no",16,1,1,4,1,5,5,5,5,5,5,0,0,10,10,16,"pass"
"63","GP","F","U","LE3","T","yes","no","no","yes","yes","yes","yes","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","yes","no","yes","no",16,1,2,1,2,4,4,3,1,1,1,0,0,13,13,10,"pass"
"64","GP","F","U","GT3","T","yes","yes","no","yes","yes","yes","yes","no","no","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","yes","no","no",16,4,3,1,3,3,4,4,2,4,4,0,0,13,14,13,"pass"
"65","GP","F","U","LE3","T","yes","no","no","yes","yes","yes","yes","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","yes","no",15,4,3,1,2,4,4,4,2,4,2,0,0,12,13,12,"pass"
"66","GP","F","U","LE3","T","no","yes","no","yes","yes","yes","yes","no","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","no","yes","no","no",16,4,3,3,2,5,4,3,1,2,1,2,0,15,16,16,"pass"
"67","GP","M","U","GT3","A","no","yes","no","yes","no","yes","yes","yes","no","no","yes","no","no","no","no","yes","no","no","no","no","no","yes","yes","no","no",15,4,4,1,4,1,3,3,5,5,3,0,0,12,11,12,"pass"
"68","GP","F","U","GT3","T","yes","yes","no","no","yes","yes","yes","no","no","no","no","yes","no","no","yes","no","no","no","yes","no","no","no","yes","no","no",16,3,1,1,4,4,3,3,1,2,5,0,0,9,10,10,"pass"
"69","GP","F","R","LE3","T","yes","yes","no","no","yes","yes","yes","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","yes","no","no",15,2,2,2,2,4,1,3,1,3,4,0,0,10,11,11,"pass"
"70","GP","F","R","LE3","T","no","yes","no","no","no","yes","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","yes","no","yes","no",15,3,1,2,4,4,4,2,2,3,3,6,0,15,15,15,"pass"
"71","GP","M","U","GT3","T","no","yes","no","no","yes","yes","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","yes","no","yes","no",16,3,1,2,4,4,3,2,1,1,5,2,0,11,13,11,"pass"
"72","GP","M","U","GT3","T","no","no","no","no","yes","yes","yes","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","no",15,4,2,1,4,3,3,3,1,1,3,0,0,9,11,10,"pass"
"73","GP","F","R","GT3","T","yes","yes","no","no","no","yes","yes","yes","no","no","yes","no","no","no","yes","no","no","no","no","no","no","yes","yes","no","no",15,1,1,1,2,3,3,4,2,4,5,2,0,11,13,11,"pass"
"74","GP","M","U","GT3","T","no","no","no","yes","yes","yes","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","yes","yes","no","no",16,3,1,1,1,5,3,2,2,2,5,0,0,13,13,14,"pass"
"75","GP","F","U","GT3","T","yes","yes","no","yes","yes","yes","yes","no","no","no","yes","no","no","no","no","yes","no","no","no","no","yes","no","yes","no","no",16,3,3,1,2,4,3,3,2,4,5,4,0,11,11,11,"pass"
"76","GP","M","U","GT3","T","no","yes","no","yes","yes","yes","yes","no","no","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","yes","no","no",15,4,3,1,2,4,3,3,2,3,5,0,0,11,11,11,"pass"
"77","GP","M","U","GT3","T","no","no","no","yes","yes","yes","yes","no","no","no","no","no","yes","no","yes","no","no","no","yes","no","no","no","yes","no","no",15,4,0,2,4,3,4,3,1,1,1,0,0,11,12,11,"pass"
"78","GP","F","U","GT3","T","no","no","no","no","yes","yes","yes","yes","no","no","yes","no","no","no","yes","no","no","no","no","no","no","yes","yes","no","no",16,2,2,1,4,5,2,3,1,3,3,1,0,13,13,13,"pass"
"79","GP","M","U","GT3","T","yes","yes","no","yes","yes","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","yes","no","no",17,2,1,2,1,4,5,1,1,1,3,0,3,9,9,10,"pass"
"80","GP","F","U","GT3","T","no","yes","no","no","yes","yes","yes","no","yes","no","no","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","no",16,3,4,1,2,2,4,3,1,2,3,14,0,11,12,11,"pass"
"81","GP","M","U","GT3","T","yes","yes","no","yes","no","yes","yes","yes","no","no","yes","no","no","no","no","yes","no","no","yes","no","no","no","no","yes","no",15,2,3,1,1,3,2,2,1,3,3,0,0,11,11,12,"pass"
"82","GP","M","U","GT3","T","yes","no","no","no","no","yes","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","yes","no","no",15,2,3,1,3,5,3,2,1,2,5,2,0,9,10,9,"fail"
"83","GP","F","U","LE3","T","no","yes","no","no","yes","yes","yes","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","yes","yes","no","no",15,3,2,1,2,4,4,4,1,1,5,4,0,11,12,11,"pass"
"84","GP","M","U","LE3","T","no","no","yes","yes","yes","yes","yes","no","no","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","yes","no","no",15,2,2,2,2,5,3,3,1,3,4,2,0,12,13,13,"pass"
"85","GP","F","U","GT3","T","no","yes","no","yes","no","yes","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","no","yes","no",15,1,1,1,2,4,3,2,2,3,4,2,0,12,13,12,"pass"
"86","GP","F","U","GT3","T","no","no","no","no","yes","yes","yes","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","yes","no",15,4,4,2,2,4,4,4,2,3,5,4,0,11,12,12,"pass"
"87","GP","F","U","LE3","T","no","yes","no","no","yes","yes","no","no","yes","no","no","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","no",16,2,2,1,2,4,3,4,1,2,2,6,0,11,13,11,"pass"
"88","GP","F","U","GT3","T","no","yes","no","yes","yes","yes","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","yes","yes","no","no",15,4,2,1,3,5,3,3,1,3,1,4,0,15,15,15,"pass"
"89","GP","M","U","GT3","T","no","no","no","yes","no","yes","yes","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","yes","no","yes","no",16,2,2,2,2,4,4,2,1,1,3,6,0,10,12,11,"pass"
"90","GP","M","U","LE3","A","no","yes","no","no","yes","yes","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","yes","yes","no","no",16,4,4,1,2,4,1,3,3,5,5,6,0,9,9,10,"pass"
"91","GP","F","U","GT3","T","no","yes","no","no","yes","yes","yes","yes","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","yes","no","no",16,3,3,1,3,4,3,3,1,3,4,2,0,11,9,11,"pass"
"92","GP","F","U","GT3","T","no","no","no","yes","yes","yes","yes","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","yes","yes","no","no",15,4,3,1,1,4,5,5,1,3,1,6,0,13,14,13,"pass"
"93","GP","F","U","LE3","T","yes","yes","no","no","yes","yes","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","no","yes","no",16,3,1,1,2,3,3,3,2,3,2,0,0,13,12,12,"pass"
"94","GP","F","U","GT3","T","no","yes","no","yes","yes","yes","yes","no","no","no","no","no","yes","no","no","yes","no","no","no","no","yes","no","yes","no","no",16,4,2,2,2,5,3,3,1,1,1,2,0,14,13,14,"pass"
"95","GP","M","U","LE3","T","no","yes","no","yes","yes","yes","yes","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","yes","yes","no","no",15,2,2,1,4,4,3,4,1,1,4,2,0,12,11,12,"pass"
"96","GP","F","R","GT3","T","yes","yes","yes","yes","yes","yes","yes","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","yes","no","no",15,1,1,2,4,3,1,2,1,1,1,4,0,13,13,13,"pass"
"97","GP","M","R","GT3","T","yes","yes","yes","yes","no","yes","yes","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","yes","yes","no","no",16,4,3,2,1,3,3,3,1,1,4,6,0,11,9,11,"pass"
"98","GP","F","U","GT3","T","no","yes","no","no","yes","yes","no","yes","no","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","no",16,2,1,1,2,4,3,5,1,1,5,0,0,12,13,12,"pass"
"99","GP","F","U","GT3","T","no","no","no","yes","no","yes","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","yes","yes","no","no",16,4,4,1,1,5,3,4,1,2,1,4,0,13,12,13,"pass"
"100","GP","F","U","GT3","T","yes","yes","no","no","yes","yes","yes","no","no","no","yes","no","no","no","no","no","no","yes","yes","no","no","no","yes","no","no",16,4,3,1,3,5,3,5,1,1,3,2,0,13,12,13,"pass"
"101","GP","M","U","GT3","T","yes","yes","no","yes","yes","yes","yes","no","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","no","yes","no","no",16,4,4,1,1,4,5,5,5,5,4,12,0,9,9,8,"fail"
"102","GP","M","U","GT3","T","no","yes","no","yes","yes","yes","yes","yes","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no","yes","no",16,4,4,1,3,4,4,3,1,1,4,0,0,16,16,16,"pass"
"103","GP","M","U","GT3","T","no","yes","yes","yes","no","yes","yes","no","no","no","no","yes","no","no","yes","no","no","no","yes","no","no","no","yes","no","no",15,4,4,1,1,5,3,3,1,1,5,2,0,13,12,12,"pass"
"104","GP","F","U","GT3","T","yes","yes","no","no","yes","yes","yes","no","no","no","no","yes","no","no","yes","no","no","no","no","no","yes","no","yes","no","no",15,3,2,2,2,4,3,5,1,1,2,16,0,10,11,10,"pass"
"105","GP","M","U","GT3","A","no","yes","no","yes","yes","yes","yes","no","no","no","no","yes","no","no","yes","no","no","no","yes","no","no","no","yes","no","no",15,3,4,1,2,5,4,4,1,1,1,0,0,16,16,16,"pass"
"106","GP","F","U","GT3","A","yes","no","no","no","yes","yes","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","yes","no","yes","no",15,3,3,1,4,4,3,3,1,1,4,10,0,10,10,10,"pass"
"107","GP","F","U","GT3","T","yes","yes","no","no","yes","yes","yes","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","no",15,2,2,1,4,5,1,2,1,1,3,4,0,10,10,10,"pass"
"108","GP","M","U","GT3","T","no","yes","no","yes","yes","yes","yes","no","no","no","no","yes","no","no","yes","no","no","no","no","no","yes","no","no","yes","no",16,3,3,1,3,5,3,3,1,1,5,4,0,14,13,14,"pass"
"109","GP","M","R","GT3","T","no","yes","no","yes","yes","yes","yes","yes","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","no","yes","no",15,4,4,4,4,1,3,5,3,5,1,8,0,10,12,11,"pass"
"110","GP","F","U","LE3","T","no","yes","no","yes","yes","yes","yes","yes","no","yes","no","no","no","no","no","no","yes","no","no","yes","no","no","yes","no","no",16,4,4,1,3,5,4,5,1,1,4,2,0,15,15,14,"pass"
"111","GP","M","U","LE3","A","no","no","no","yes","yes","yes","yes","no","no","no","no","no","yes","yes","no","no","no","no","yes","no","no","no","yes","no","no",15,4,4,1,1,5,5,3,1,1,4,4,0,14,13,14,"pass"
"112","GP","F","R","GT3","T","yes","yes","no","yes","yes","yes","yes","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","yes","no","yes","no",16,3,3,1,3,4,1,2,1,1,2,4,0,11,11,11,"pass"
"113","GP","F","U","GT3","T","yes","no","no","yes","yes","yes","yes","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","yes","no","no",16,2,2,1,2,3,1,2,1,1,5,12,1,10,8,10,"pass"
"114","GP","M","U","LE3","T","no","no","no","no","yes","yes","yes","no","no","no","no","no","yes","no","yes","no","no","no","yes","no","no","no","yes","no","no",15,4,2,1,1,3,5,2,1,1,3,10,0,17,18,18,"pass"
"115","GP","M","R","GT3","T","no","no","no","yes","yes","yes","yes","yes","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","yes","no","no",15,2,1,1,2,5,4,2,1,1,5,4,0,9,10,10,"pass"
"116","GP","M","U","GT3","T","no","yes","no","yes","yes","yes","yes","no","no","no","no","no","yes","yes","no","no","no","no","yes","no","no","no","no","yes","no",16,4,4,1,2,5,4,4,1,2,5,6,0,14,16,14,"pass"
"117","GP","M","U","GT3","T","no","yes","no","yes","yes","yes","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","yes","no","yes","no",15,4,4,2,2,4,4,3,1,1,2,4,0,15,16,16,"pass"
"118","GP","M","U","GT3","T","no","no","no","yes","yes","yes","yes","no","no","no","yes","no","no","no","no","yes","no","no","no","no","yes","no","no","yes","no",16,3,3,2,1,5,4,2,1,1,5,6,0,14,14,15,"pass"
"119","GP","M","R","GT3","T","no","yes","no","yes","yes","yes","yes","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","yes","no",17,1,3,3,2,5,2,4,1,4,5,14,1,11,12,11,"pass"
"120","GP","M","U","GT3","T","no","no","no","no","yes","yes","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","yes","no","yes","no",15,3,4,1,1,3,4,3,1,2,4,2,0,13,14,14,"pass"
