school,sex,address,famsize,Pstatus,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,bin_Mjob_at_home,bin_Mjob_health,bin_Mjob_other,bin_Mjob_services,bin_Mjob_teacher,bin_Fjob_teacher,bin_Fjob_other,bin_Fjob_services,bin_Fjob_health,bin_Fjob_at_home,bin_reason_course,bin_reason_other,bin_reason_home,bin_reason_reputation,bin_guardian_mother,bin_guardian_father,bin_guardian_other,age,Medu,Fedu,traveltime,studytime,famrel,freetime,goout,Dalc,Walc,health,absences,failures,G2,G1,G3,result
1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,16,2,2,1,1,1,2,2,1,3,5,14,2,9,6,8,fail
1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,15,2,2,1,1,4,2,2,1,2,5,2,0,12,12,11,pass
1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,15,4,2,1,1,2,2,4,2,4,1,4,0,16,15,15,pass
1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,16,3,4,1,2,5,3,3,1,1,5,4,0,11,11,11,pass
1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,16,4,4,1,2,4,4,5,5,5,5,16,0,12,10,11,pass
1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,15,4,4,1,2,5,4,2,3,4,5,0,0,11,9,12,pass
1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,15,4,4,2,2,4,3,1,1,1,5,0,0,16,17,17,pass
1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,15,4,3,1,2,4,5,2,1,1,5,0,0,16,17,16,pass
1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,15,3,3,1,2,5,3,2,1,1,2,0,0,10,8,12,pass
1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,16,3,2,1,1,5,4,3,1,1,5,0,0,14,12,15,pass
1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,15,2,3,2,1,3,5,1,1,1,5,0,0,7,8,6,fail
1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,15,4,3,1,3,5,4,3,1,1,4,2,0,16,15,18,pass
1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,16,4,4,2,3,2,4,3,1,1,5,7,0,16,15,15,pass
1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,15,3,4,1,3,4,3,2,1,1,5,2,0,12,12,11,pass
1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,15,2,2,1,1,4,3,1,1,1,2,8,0,13,14,13,pass
1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,16,2,2,2,2,3,3,3,1,2,3,25,1,10,7,11,pass
1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,15,4,4,1,1,5,4,3,2,4,5,8,0,12,12,12,pass
1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,15,4,4,1,2,4,3,3,1,1,5,2,0,18,19,18,pass
1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,15,2,2,1,1,5,4,1,1,1,1,0,0,8,8,11,pass
1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,16,2,2,2,2,4,3,3,2,2,5,14,1,10,10,9,fail
1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,15,4,3,1,2,5,2,2,1,1,5,8,0,8,8,6,fail
1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,16,3,3,1,2,2,3,5,1,4,3,12,0,12,11,11,pass
1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,16,4,3,1,4,4,2,2,1,1,2,4,0,19,19,20,pass
1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,15,4,2,1,2,4,3,3,2,2,5,2,0,15,15,14,pass
1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,15,4,4,1,2,4,4,4,1,1,3,2,1,7,7,7,fail
1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,16,2,2,3,2,4,3,3,2,3,4,2,0,13,12,13,pass
1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,15,4,2,1,2,4,3,3,1,1,5,2,0,13,11,13,pass
1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,15,4,2,2,1,5,5,5,3,4,5,6,1,11,11,10,pass
1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,15,4,4,1,1,3,3,4,2,3,5,0,0,10,8,11,pass
1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,15,3,3,1,1,5,3,4,4,4,1,6,0,13,10,13,pass
1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,16,2,1,1,2,5,3,4,1,1,2,8,0,9,8,10,pass
1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,15,4,3,1,2,4,3,2,1,1,1,0,0,15,14,15,pass
1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,15,4,4,1,2,3,2,2,1,1,5,4,0,15,14,15,pass
1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,15,1,2,1,2,4,3,2,1,1,5,2,0,10,9,9,fail
1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,16,4,2,1,2,4,2,3,1,1,5,2,0,16,15,16,pass
1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,16,4,4,1,2,2,4,4,2,3,4,6,0,11,10,11,pass
1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,16,1,1,4,1,5,5,5,5,5,5,6,0,8,10,11,pass
1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,16,1,2,1,2,4,4,3,1,1,1,4,0,10,8,9,fail
1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,16,4,3,1,3,3,4,4,2,4,4,2,0,9,10,9,fail
1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,15,4,3,1,2,4,4,4,2,4,2,0,0,10,10,10,pass
1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,16,4,3,3,2,5,4,3,1,2,1,2,0,15,16,15,pass
1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,15,4,4,1,4,1,3,3,5,5,3,4,0,13,13,12,pass
1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,16,3,1,1,4,4,3,3,1,2,5,4,0,7,7,6,fail
1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,15,2,2,2,2,4,1,3,1,3,4,2,0,9,8,8,fail
1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,15,3,1,2,4,4,4,2,2,3,3,12,0,16,16,16,pass
1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,16,3,1,2,4,4,3,2,1,1,5,0,0,15,13,15,pass
1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,15,4,2,1,4,3,3,3,1,1,3,0,0,10,10,10,pass
1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,15,1,1,1,2,3,3,4,2,4,5,2,2,6,8,5,fail
1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,16,3,1,1,1,5,3,2,2,2,5,2,0,12,12,14,pass
1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,16,3,3,1,2,4,3,3,2,4,5,54,0,12,11,11,pass
1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,15,4,3,1,2,4,3,3,2,3,5,6,0,9,9,10,pass
1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,15,4,0,2,4,3,4,3,1,1,1,8,0,11,11,10,pass
1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,16,2,2,1,4,5,2,3,1,3,3,0,0,11,11,11,pass
1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,17,2,1,2,1,4,5,1,1,1,3,2,3,8,8,10,pass
1,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,16,3,4,1,2,2,4,3,1,2,3,12,0,5,5,5,fail
1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,15,2,3,1,1,3,2,2,1,3,3,2,0,12,10,12,pass
1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,15,2,3,1,3,5,3,2,1,2,5,4,0,10,11,11,pass
1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,15,3,2,1,2,4,4,4,1,1,5,10,0,6,7,6,fail
1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,15,2,2,2,2,5,3,3,1,3,4,4,0,15,15,15,pass
1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,15,1,1,1,2,4,3,2,2,3,4,2,0,10,9,10,pass
1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,15,4,4,2,2,4,4,4,2,3,5,6,2,9,7,8,fail
1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,16,2,2,1,2,4,3,4,1,2,2,4,0,7,8,6,fail
1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,15,4,2,1,3,5,3,3,1,3,1,4,0,14,13,14,pass
1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,16,2,2,2,2,4,4,2,1,1,3,12,1,10,11,10,pass
1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,16,4,4,1,2,4,1,3,3,5,5,18,0,6,8,7,fail
1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,16,3,3,1,3,4,3,3,1,3,4,0,0,7,7,8,fail
1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,15,4,3,1,1,4,5,5,1,3,1,4,0,17,16,18,pass
1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,16,3,1,1,2,3,3,3,2,3,2,4,0,6,7,6,fail
1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,16,4,2,2,2,5,3,3,1,1,1,0,0,10,11,10,pass
1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,15,2,2,1,4,4,3,4,1,1,4,6,0,13,11,14,pass
1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,15,1,1,2,4,3,1,2,1,1,1,2,1,10,7,10,pass
1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,16,4,3,2,1,3,3,3,1,1,4,2,0,15,11,15,pass
1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,16,2,1,1,2,4,3,5,1,1,5,2,0,9,8,10,pass
1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,16,4,4,1,1,5,3,4,1,2,1,6,0,14,11,14,pass
1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,16,4,3,1,3,5,3,5,1,1,3,0,0,9,7,8,fail
1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,16,4,4,1,1,4,5,5,5,5,4,14,0,7,7,5,fail
1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,16,4,4,1,3,4,4,3,1,1,4,0,0,17,16,17,pass
1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,15,4,4,1,1,5,3,3,1,1,5,4,0,13,10,14,pass
1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,15,3,2,2,2,4,3,5,1,1,2,26,0,6,7,6,fail
1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,15,3,4,1,2,5,4,4,1,1,1,0,0,18,16,18,pass
1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,15,3,3,1,4,4,3,3,1,1,4,10,0,11,10,11,pass
1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,15,2,2,1,4,5,1,2,1,1,3,8,0,8,7,8,fail
1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,16,3,3,1,3,5,3,3,1,1,5,2,0,18,16,18,pass
1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,15,4,4,4,4,1,3,5,3,5,1,6,0,13,10,13,pass
1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,16,4,4,1,3,5,4,5,1,1,4,4,0,15,14,16,pass
1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,15,4,4,1,1,5,5,3,1,1,4,6,0,19,18,19,pass
1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,16,3,3,1,3,4,1,2,1,1,2,0,1,10,7,10,pass
1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,16,2,2,1,2,3,1,2,1,1,5,6,1,13,10,13,pass
1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,15,4,2,1,1,3,5,2,1,1,3,10,0,19,18,19,pass
1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,15,2,1,1,2,5,4,2,1,1,5,8,0,9,9,9,fail
1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,16,4,4,1,2,5,4,4,1,2,5,2,0,15,15,16,pass
1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,15,4,4,2,2,4,4,3,1,1,2,2,0,13,11,14,pass
1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,16,3,3,2,1,5,4,2,1,1,5,0,0,14,13,13,pass
1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,17,1,3,3,2,5,2,4,1,4,5,20,1,7,9,8,fail
1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,15,3,4,1,1,3,4,3,1,2,4,6,0,13,14,13,pass
1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,15,1,2,1,2,3,2,3,1,2,1,2,0,15,16,15,pass
1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,15,2,2,1,4,5,5,4,1,2,5,6,0,14,16,15,pass
1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,16,2,4,2,2,4,2,2,1,2,5,2,0,13,13,13,pass
1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,16,4,4,1,1,3,4,4,1,4,5,18,0,11,14,13,pass
1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,16,2,2,1,2,5,4,4,1,1,5,0,0,7,8,8,fail
1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,15,3,4,1,1,5,5,5,3,2,5,0,0,13,13,12,pass
1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,15,3,4,1,2,5,3,2,1,1,1,0,0,10,7,11,pass
1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,19,0,1,1,2,3,4,2,1,1,5,2,3,8,7,9,fail
1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,16,4,4,1,1,3,5,5,2,5,4,8,0,18,18,18,pass
1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,17,2,2,1,1,3,4,4,1,3,5,12,0,13,10,12,pass
1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,16,3,4,1,1,3,2,1,1,4,5,16,0,11,12,11,pass
1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,16,1,1,1,2,4,4,4,1,3,5,0,1,12,14,12,pass
1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,15,4,4,2,1,4,3,2,1,1,5,0,0,16,16,15,pass
1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,16,2,2,2,1,2,3,3,2,2,2,8,2,9,9,9,fail
1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,15,4,4,1,3,4,2,2,1,1,5,2,0,11,9,11,pass
1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,16,1,1,1,1,3,4,4,3,3,1,2,0,14,14,13,pass
1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,15,1,1,1,2,4,4,2,1,2,5,0,0,11,8,11,pass
1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,15,1,2,1,2,4,3,2,1,1,5,2,0,11,10,11,pass
1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,15,2,1,4,1,4,5,5,2,5,5,0,3,9,8,10,pass
1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,16,2,1,1,1,4,4,4,3,5,5,6,1,13,12,14,pass
1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,15,3,3,2,3,4,2,1,2,3,3,8,2,10,10,10,pass
